name,url,category,sources,valid,http_status,error
Pandio Blog,https://pandio.com/feed/,news,feedspot,YES,200,
Paperspace Blog,https://blog.paperspace.com/rss/,news,github,YES,200,
PetaPixel,https://petapixel.com/feed,news,github,YES,200,
philschmid blog,https://www.philschmid.de/feed.xml,news,github,NO,404,Not Found
Product Hunt,https://www.producthunt.com/feed,news,github,YES,200,
Python Insider,https://feeds.feedburner.com/PythonInsider,news,github,NO,404,Not Found
Quanta Magazine,https://api.quantamagazine.org/feed,news,github,YES,200,
Qudata,https://qudata.com/en/news/rss.xml,news,feedspot,YES,200,
R-bloggers,https://feeds.feedburner.com/RBloggers,news,github,YES,200,
Radix – Medium,https://medium.com/feed/radix-ai-blog,news,github,YES,200,
Replicate Blog,https://replicate.com/blog/rss,news,github,YES,200,
Replicate Codex,https://notes.replicatecodex.com/rss/,news,github,NO,0,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn
Rest of World – Latest Stories,https://restofworld.org/feed/latest,news,github,YES,200,
Robot Writers AI,https://robotwritersai.com/feed/,news,feedspot,YES,200,
Robotics Research News – ScienceDaily,https://www.sciencedaily.com/rss/computers_math/robotics.xml,news,github,YES,200,
Robotics – Tech.eu,https://tech.eu/category/robotics/feed,news,github,YES,200,
RStudio AI Blog,https://blogs.rstudio.com/ai/index.xml,news,feedspot,YES,200,
SAAL,https://saal.ai/feed/,news,feedspot,YES,200,
SAS - AI,https://blogs.sas.com/content/topic/artificial-intelligence/feed/,news,feedspot,YES,200,
Science News - AI,https://www.sciencenews.org/topic/artificial-intelligence/feed,news,feedspot,YES,200,
ScienceDaily - AI News,https://www.sciencedaily.com/rss/computers_math/artificial_intelligence.xml,news,feedspot+github,YES,200,
Scientific American,http://rss.sciam.com/ScientificAmerican-Global,news,github,YES,200,
Scripps News - AI,https://www.scrippsnews.com/science-and-tech/artificial-intelligence.rss,news,feedspot,YES,200,
SemiAnalysis,https://www.semianalysis.com/feed,news,github,YES,200,
Shaip Blog,https://www.shaip.com/feed/,news,feedspot,YES,200,
Silicon Republic,https://www.siliconrepublic.com/feed,news,github,YES,200,
Simon Willison's Weblog,https://simonwillison.net/atom/everything/,news,github,YES,200,
Spritle Blog,https://www.spritle.com/blog/feed/,news,feedspot,YES,200,
Stack Overflow Blog,https://stackoverflow.blog/feed/,news,github,YES,200,
Stanford CRFM,https://crfm.stanford.edu/feed,news,github,YES,200,
stat.ML updates on arXiv.org,https://arxiv.org/rss/stat.ML,news,github,YES,200,
Synced,https://syncedreview.com/feed,news,github,YES,200,
Synthedia,https://synthedia.substack.com/feed,news,github,YES,200,
Tech Monitor,https://techmonitor.ai/feed,news,github,YES,200,
TechCrunch,https://techcrunch.com/feed/,news,github,YES,200,
TechCrunch - AI,https://techcrunch.com/category/artificial-intelligence/feed/,news,feedspot,YES,200,
